"","rut","tipo_dif_6","ventas_inicio","monto_op","tasa_anual","plazo","es_mujer","es_hombre","es_pj","para_cap_trab","para_inv","para_cap_trab_inv","comercio","alimento","agricultura","region","eval"
"180",3718,"2 entre -5% y 5%",0.00867136723654675,-0.162994343316421,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"182",3763,"2 entre -5% y 5%",2.95407618702669,4.38101158000853,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"15",FALSE
"183",3772,"2 entre -5% y 5%",0.163692620891059,4.38101158000853,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"2",FALSE
"185",3807,"2 entre -5% y 5%",-0.541356827926529,-0.0860093376162249,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"191",3888,"2 entre -5% y 5%",-0.464352213700764,0.0875352467271115,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"13",FALSE
"193",3916,"2 entre -5% y 5%",0.886316295836489,4.98344407971367,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"6",FALSE
"194",3931,"2 entre -5% y 5%",-0.456392727178458,-0.0463259467596035,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"8",FALSE
"196",3941,"2 entre -5% y 5%",-0.533903187279981,-0.357259962895488,0.137694153599676,-1.18608230603183,0,1,0,1,0,0,1,0,0,"9",FALSE
"197",3973,"2 entre -5% y 5%",-0.611413980832971,0.572022480252909,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"9",FALSE
"202",4137,"2 entre -5% y 5%",0.473735128200085,4.49990787484393,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"3",FALSE
"203",4185,"2 entre -5% y 5%",-0.146349886417966,4.13399928363166,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"205",4230,"2 entre -5% y 5%",0.614474322062521,3.73958808645776,0.137694153599676,0.520811901424669,0,1,0,1,0,0,1,0,0,"5",FALSE
"207",4291,"2 entre -5% y 5%",-0.692904184195646,-0.960400580366987,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"13",FALSE
"209",4317,"3 Mayor a 5%",-0.688924440934494,1.24734822068799,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"5",FALSE
"210",4320,"3 Mayor a 5%",-0.735430917066288,1.20471003980313,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"5",FALSE
